,jobtitle,company,city,location,salarytxt,paybase,summary
1001,machine learning technical writer,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"114 5th ave (22114), united states of america, new york, new york at capital one, we’re building a leading information-based technology company. still founder"
1002,associate director - heart transplant program,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,reviews data and helps to identify projects; and to ensure that critical clinical data is accurately collected....
1003,data scientist - new york tech dev center,T. Rowe Price,New+York%2CNY,"New York, NY",NaN,NaN,we’re looking for data scientists to join our new technology development center in manhattan. fluency in the languages of data manipulation (e.g....
1004,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1005,billing coordinator-sr accounts receivable,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"reviews correspondence and rejection data from insurance carriers; working alongside leading physicians and within internationally acclaimed medical institutes,..."
1006,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1007,bioinformatics software engineer (solid tumor team),Memorial Sloan Kettering,New+York%2CNY,"New York, NY",NaN,NaN,"process and analyze data from high-throughput next-generation sequencing. design, develop, and operate software and databases as part of bioinformatics data..."
1008,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1009,principal statistical programmer,Shionogi Inc,New+York%2CNY,"Florham Park, NJ 07932",NaN,NaN,support data management by generating data listings. extensive experience of data integration. experience in the creation of cdisc sdtm and adam models by...
1010,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1011,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1012,research analyst,1199SEIU Family of Funds,New+York%2CNY,"New York, NY",NaN,NaN,"testing, and offline data capture. experience maintaining and using complex databases, formulas, data mining, conducting financial analysis and reporting..."
1013,"associate investigator, bioelectronic medicine",Northwell Health,New+York%2CNY,"Manhasset, NY",NaN,NaN,ensure the collection and analysis of research data. you will collaborate with other investigators and scientists in facilitating scientific research....
1014,platform architect,Corporate Technology,New+York%2CNY,"New York, NY",NaN,NaN,build and provision analytical sandboxes for data scientists and analysts. design and build data processing pipelines for structured and unstructured data using...
1015,post doc research trainee - spinal cord injury,Northwell Health,New+York%2CNY,"Manhasset, NY",NaN,NaN,"performs a variety of tasks, including but not limited to, collecting clinical and biological data, conducting studies, data analysis, maintaining records,..."
1016,"nyc kids child health survey manager, bureau of epidemiology services",DEPT OF HEALTH/MENTAL HYGIENE,New+York%2CNY,"Queens, NY",88331.0,annual,"the bureau is responsible for developing, collecting and facilitating the use of population-based survey data and other data sources;..."
1017,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1018,data scientist,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"writing software to clean and investigate large, messy data sets of numerical and textual data. big, undefined problems and petabytes of data don't frighten you..."
1019,"assistant manager, decision analytics services (python analytics)",EXL,New+York%2CNY,"New York, NY 10019 (Midtown area)",NaN,NaN,"our global footprint of nearly 2,000 data scientists and analysts assist client organizations with complex risk minimization methods, advanced marketing,..."
1020,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1021,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1022,research analyst,1199SEIU Family of Funds,New+York%2CNY,"New York, NY",NaN,NaN,"testing, and offline data capture. experience maintaining and using complex databases, formulas, data mining, conducting financial analysis and reporting..."
1023,"associate investigator, bioelectronic medicine",Northwell Health,New+York%2CNY,"Manhasset, NY",NaN,NaN,ensure the collection and analysis of research data. you will collaborate with other investigators and scientists in facilitating scientific research....
1024,platform architect,Corporate Technology,New+York%2CNY,"New York, NY",NaN,NaN,build and provision analytical sandboxes for data scientists and analysts. design and build data processing pipelines for structured and unstructured data using...
1025,post doc research trainee - spinal cord injury,Northwell Health,New+York%2CNY,"Manhasset, NY",NaN,NaN,"performs a variety of tasks, including but not limited to, collecting clinical and biological data, conducting studies, data analysis, maintaining records,..."
1026,"nyc kids child health survey manager, bureau of epidemiology services",DEPT OF HEALTH/MENTAL HYGIENE,New+York%2CNY,"Queens, NY",88331.0,annual,"the bureau is responsible for developing, collecting and facilitating the use of population-based survey data and other data sources;..."
1027,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1028,data scientist,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"writing software to clean and investigate large, messy data sets of numerical and textual data. big, undefined problems and petabytes of data don't frighten you..."
1029,"assistant manager, decision analytics services (python analytics)",EXL,New+York%2CNY,"New York, NY 10019 (Midtown area)",NaN,NaN,"our global footprint of nearly 2,000 data scientists and analysts assist client organizations with complex risk minimization methods, advanced marketing,..."
1030,clinical data programmer,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,"in-depth understanding of data collection, data flow management, data quality, data extraction and data standards (knowledge of cdisc standards for cdash, sdtm..."
1031,machine learning technical writer,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"114 5th ave (22114), united states of america, new york, new york at capital one, we’re building a leading information-based technology company. still founder"
1032,associate director - heart transplant program,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,reviews data and helps to identify projects; and to ensure that critical clinical data is accurately collected....
1033,data scientist - new york tech dev center,T. Rowe Price,New+York%2CNY,"New York, NY",NaN,NaN,we’re looking for data scientists to join our new technology development center in manhattan. fluency in the languages of data manipulation (e.g....
1034,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1035,billing coordinator-sr accounts receivable,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"reviews correspondence and rejection data from insurance carriers; working alongside leading physicians and within internationally acclaimed medical institutes,..."
1036,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1037,bioinformatics software engineer (solid tumor team),Memorial Sloan Kettering,New+York%2CNY,"New York, NY",NaN,NaN,"process and analyze data from high-throughput next-generation sequencing. design, develop, and operate software and databases as part of bioinformatics data..."
1038,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1039,principal statistical programmer,Shionogi Inc,New+York%2CNY,"Florham Park, NJ 07932",NaN,NaN,support data management by generating data listings. extensive experience of data integration. experience in the creation of cdisc sdtm and adam models by...
1040,clinical data programmer,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,"in-depth understanding of data collection, data flow management, data quality, data extraction and data standards (knowledge of cdisc standards for cdash, sdtm..."
1041,machine learning technical writer,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"114 5th ave (22114), united states of america, new york, new york at capital one, we’re building a leading information-based technology company. still founder"
1042,associate director - heart transplant program,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,reviews data and helps to identify projects; and to ensure that critical clinical data is accurately collected....
1043,data scientist - new york tech dev center,T. Rowe Price,New+York%2CNY,"New York, NY",NaN,NaN,we’re looking for data scientists to join our new technology development center in manhattan. fluency in the languages of data manipulation (e.g....
1044,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1045,billing coordinator-sr accounts receivable,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"reviews correspondence and rejection data from insurance carriers; working alongside leading physicians and within internationally acclaimed medical institutes,..."
1046,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1047,bioinformatics software engineer (solid tumor team),Memorial Sloan Kettering,New+York%2CNY,"New York, NY",NaN,NaN,"process and analyze data from high-throughput next-generation sequencing. design, develop, and operate software and databases as part of bioinformatics data..."
1048,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1049,principal statistical programmer,Shionogi Inc,New+York%2CNY,"Florham Park, NJ 07932",NaN,NaN,support data management by generating data listings. extensive experience of data integration. experience in the creation of cdisc sdtm and adam models by...
1050,clinical data programmer,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,"in-depth understanding of data collection, data flow management, data quality, data extraction and data standards (knowledge of cdisc standards for cdash, sdtm..."
1051,machine learning technical writer,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"114 5th ave (22114), united states of america, new york, new york at capital one, we’re building a leading information-based technology company. still founder"
1052,associate director - heart transplant program,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,reviews data and helps to identify projects; and to ensure that critical clinical data is accurately collected....
1053,data scientist - new york tech dev center,T. Rowe Price,New+York%2CNY,"New York, NY",NaN,NaN,we’re looking for data scientists to join our new technology development center in manhattan. fluency in the languages of data manipulation (e.g....
1054,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1055,billing coordinator-sr accounts receivable,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"reviews correspondence and rejection data from insurance carriers; working alongside leading physicians and within internationally acclaimed medical institutes,..."
1056,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1057,bioinformatics software engineer (solid tumor team),Memorial Sloan Kettering,New+York%2CNY,"New York, NY",NaN,NaN,"process and analyze data from high-throughput next-generation sequencing. design, develop, and operate software and databases as part of bioinformatics data..."
1058,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1059,principal statistical programmer,Shionogi Inc,New+York%2CNY,"Florham Park, NJ 07932",NaN,NaN,support data management by generating data listings. extensive experience of data integration. experience in the creation of cdisc sdtm and adam models by...
1060,clinical data programmer,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,"in-depth understanding of data collection, data flow management, data quality, data extraction and data standards (knowledge of cdisc standards for cdash, sdtm..."
1061,machine learning technical writer,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"114 5th ave (22114), united states of america, new york, new york at capital one, we’re building a leading information-based technology company. still founder"
1062,associate director - heart transplant program,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,reviews data and helps to identify projects; and to ensure that critical clinical data is accurately collected....
1063,data scientist - new york tech dev center,T. Rowe Price,New+York%2CNY,"New York, NY",NaN,NaN,we’re looking for data scientists to join our new technology development center in manhattan. fluency in the languages of data manipulation (e.g....
1064,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1065,billing coordinator-sr accounts receivable,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"reviews correspondence and rejection data from insurance carriers; working alongside leading physicians and within internationally acclaimed medical institutes,..."
1066,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1067,bioinformatics software engineer (solid tumor team),Memorial Sloan Kettering,New+York%2CNY,"New York, NY",NaN,NaN,"process and analyze data from high-throughput next-generation sequencing. design, develop, and operate software and databases as part of bioinformatics data..."
1068,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1069,principal statistical programmer,Shionogi Inc,New+York%2CNY,"Florham Park, NJ 07932",NaN,NaN,support data management by generating data listings. extensive experience of data integration. experience in the creation of cdisc sdtm and adam models by...
1070,clinical data programmer,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,"in-depth understanding of data collection, data flow management, data quality, data extraction and data standards (knowledge of cdisc standards for cdash, sdtm..."
1071,machine learning technical writer,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"114 5th ave (22114), united states of america, new york, new york at capital one, we’re building a leading information-based technology company. still founder"
1072,associate director - heart transplant program,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,reviews data and helps to identify projects; and to ensure that critical clinical data is accurately collected....
1073,data scientist - new york tech dev center,T. Rowe Price,New+York%2CNY,"New York, NY",NaN,NaN,we’re looking for data scientists to join our new technology development center in manhattan. fluency in the languages of data manipulation (e.g....
1074,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1075,billing coordinator-sr accounts receivable,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"reviews correspondence and rejection data from insurance carriers; working alongside leading physicians and within internationally acclaimed medical institutes,..."
1076,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1077,bioinformatics software engineer (solid tumor team),Memorial Sloan Kettering,New+York%2CNY,"New York, NY",NaN,NaN,"process and analyze data from high-throughput next-generation sequencing. design, develop, and operate software and databases as part of bioinformatics data..."
1078,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1079,principal statistical programmer,Shionogi Inc,New+York%2CNY,"Florham Park, NJ 07932",NaN,NaN,support data management by generating data listings. extensive experience of data integration. experience in the creation of cdisc sdtm and adam models by...
1080,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1081,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1082,research analyst,1199SEIU Family of Funds,New+York%2CNY,"New York, NY",NaN,NaN,"testing, and offline data capture. experience maintaining and using complex databases, formulas, data mining, conducting financial analysis and reporting..."
1083,"associate investigator, bioelectronic medicine",Northwell Health,New+York%2CNY,"Manhasset, NY",NaN,NaN,ensure the collection and analysis of research data. you will collaborate with other investigators and scientists in facilitating scientific research....
1084,platform architect,Corporate Technology,New+York%2CNY,"New York, NY",NaN,NaN,build and provision analytical sandboxes for data scientists and analysts. design and build data processing pipelines for structured and unstructured data using...
1085,post doc research trainee - spinal cord injury,Northwell Health,New+York%2CNY,"Manhasset, NY",NaN,NaN,"performs a variety of tasks, including but not limited to, collecting clinical and biological data, conducting studies, data analysis, maintaining records,..."
1086,"nyc kids child health survey manager, bureau of epidemiology services",DEPT OF HEALTH/MENTAL HYGIENE,New+York%2CNY,"Queens, NY",88331.0,annual,"the bureau is responsible for developing, collecting and facilitating the use of population-based survey data and other data sources;..."
1087,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1088,data scientist,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"writing software to clean and investigate large, messy data sets of numerical and textual data. big, undefined problems and petabytes of data don't frighten you..."
1089,"assistant manager, decision analytics services (python analytics)",EXL,New+York%2CNY,"New York, NY 10019 (Midtown area)",NaN,NaN,"our global footprint of nearly 2,000 data scientists and analysts assist client organizations with complex risk minimization methods, advanced marketing,..."
1090,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1091,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1092,research analyst,1199SEIU Family of Funds,New+York%2CNY,"New York, NY",NaN,NaN,"testing, and offline data capture. experience maintaining and using complex databases, formulas, data mining, conducting financial analysis and reporting..."
1093,"associate investigator, bioelectronic medicine",Northwell Health,New+York%2CNY,"Manhasset, NY",NaN,NaN,ensure the collection and analysis of research data. you will collaborate with other investigators and scientists in facilitating scientific research....
1094,platform architect,Corporate Technology,New+York%2CNY,"New York, NY",NaN,NaN,build and provision analytical sandboxes for data scientists and analysts. design and build data processing pipelines for structured and unstructured data using...
1095,post doc research trainee - spinal cord injury,Northwell Health,New+York%2CNY,"Manhasset, NY",NaN,NaN,"performs a variety of tasks, including but not limited to, collecting clinical and biological data, conducting studies, data analysis, maintaining records,..."
1096,"nyc kids child health survey manager, bureau of epidemiology services",DEPT OF HEALTH/MENTAL HYGIENE,New+York%2CNY,"Queens, NY",88331.0,annual,"the bureau is responsible for developing, collecting and facilitating the use of population-based survey data and other data sources;..."
1097,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1098,data scientist,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"writing software to clean and investigate large, messy data sets of numerical and textual data. big, undefined problems and petabytes of data don't frighten you..."
1099,"assistant manager, decision analytics services (python analytics)",EXL,New+York%2CNY,"New York, NY 10019 (Midtown area)",NaN,NaN,"our global footprint of nearly 2,000 data scientists and analysts assist client organizations with complex risk minimization methods, advanced marketing,..."
1100,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1101,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1102,research analyst,1199SEIU Family of Funds,New+York%2CNY,"New York, NY",NaN,NaN,"testing, and offline data capture. experience maintaining and using complex databases, formulas, data mining, conducting financial analysis and reporting..."
1103,"associate investigator, bioelectronic medicine",Northwell Health,New+York%2CNY,"Manhasset, NY",NaN,NaN,ensure the collection and analysis of research data. you will collaborate with other investigators and scientists in facilitating scientific research....
1104,platform architect,Corporate Technology,New+York%2CNY,"New York, NY",NaN,NaN,build and provision analytical sandboxes for data scientists and analysts. design and build data processing pipelines for structured and unstructured data using...
1105,post doc research trainee - spinal cord injury,Northwell Health,New+York%2CNY,"Manhasset, NY",NaN,NaN,"performs a variety of tasks, including but not limited to, collecting clinical and biological data, conducting studies, data analysis, maintaining records,..."
1106,"nyc kids child health survey manager, bureau of epidemiology services",DEPT OF HEALTH/MENTAL HYGIENE,New+York%2CNY,"Queens, NY",88331.0,annual,"the bureau is responsible for developing, collecting and facilitating the use of population-based survey data and other data sources;..."
1107,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1108,data scientist,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"writing software to clean and investigate large, messy data sets of numerical and textual data. big, undefined problems and petabytes of data don't frighten you..."
1109,"assistant manager, decision analytics services (python analytics)",EXL,New+York%2CNY,"New York, NY 10019 (Midtown area)",NaN,NaN,"our global footprint of nearly 2,000 data scientists and analysts assist client organizations with complex risk minimization methods, advanced marketing,..."
1110,clinical data programmer,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,"in-depth understanding of data collection, data flow management, data quality, data extraction and data standards (knowledge of cdisc standards for cdash, sdtm..."
1111,machine learning technical writer,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"114 5th ave (22114), united states of america, new york, new york at capital one, we’re building a leading information-based technology company. still founder"
1112,associate director - heart transplant program,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,reviews data and helps to identify projects; and to ensure that critical clinical data is accurately collected....
1113,data scientist - new york tech dev center,T. Rowe Price,New+York%2CNY,"New York, NY",NaN,NaN,we’re looking for data scientists to join our new technology development center in manhattan. fluency in the languages of data manipulation (e.g....
1114,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1115,billing coordinator-sr accounts receivable,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"reviews correspondence and rejection data from insurance carriers; working alongside leading physicians and within internationally acclaimed medical institutes,..."
1116,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1117,bioinformatics software engineer (solid tumor team),Memorial Sloan Kettering,New+York%2CNY,"New York, NY",NaN,NaN,"process and analyze data from high-throughput next-generation sequencing. design, develop, and operate software and databases as part of bioinformatics data..."
1118,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1119,principal statistical programmer,Shionogi Inc,New+York%2CNY,"Florham Park, NJ 07932",NaN,NaN,support data management by generating data listings. extensive experience of data integration. experience in the creation of cdisc sdtm and adam models by...
1120,clinical data programmer,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,"in-depth understanding of data collection, data flow management, data quality, data extraction and data standards (knowledge of cdisc standards for cdash, sdtm..."
1121,machine learning technical writer,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"114 5th ave (22114), united states of america, new york, new york at capital one, we’re building a leading information-based technology company. still founder"
1122,associate director - heart transplant program,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,reviews data and helps to identify projects; and to ensure that critical clinical data is accurately collected....
1123,data scientist - new york tech dev center,T. Rowe Price,New+York%2CNY,"New York, NY",NaN,NaN,we’re looking for data scientists to join our new technology development center in manhattan. fluency in the languages of data manipulation (e.g....
1124,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1125,billing coordinator-sr accounts receivable,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"reviews correspondence and rejection data from insurance carriers; working alongside leading physicians and within internationally acclaimed medical institutes,..."
1126,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1127,bioinformatics software engineer (solid tumor team),Memorial Sloan Kettering,New+York%2CNY,"New York, NY",NaN,NaN,"process and analyze data from high-throughput next-generation sequencing. design, develop, and operate software and databases as part of bioinformatics data..."
1128,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1129,principal statistical programmer,Shionogi Inc,New+York%2CNY,"Florham Park, NJ 07932",NaN,NaN,support data management by generating data listings. extensive experience of data integration. experience in the creation of cdisc sdtm and adam models by...
1130,clinical data programmer,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,"in-depth understanding of data collection, data flow management, data quality, data extraction and data standards (knowledge of cdisc standards for cdash, sdtm..."
1131,machine learning technical writer,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"114 5th ave (22114), united states of america, new york, new york at capital one, we’re building a leading information-based technology company. still founder"
1132,associate director - heart transplant program,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,reviews data and helps to identify projects; and to ensure that critical clinical data is accurately collected....
1133,data scientist - new york tech dev center,T. Rowe Price,New+York%2CNY,"New York, NY",NaN,NaN,we’re looking for data scientists to join our new technology development center in manhattan. fluency in the languages of data manipulation (e.g....
1134,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
1135,billing coordinator-sr accounts receivable,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"reviews correspondence and rejection data from insurance carriers; working alongside leading physicians and within internationally acclaimed medical institutes,..."
1136,avp intermediate research analyst,OppenheimerFunds,New+York%2CNY,"New York, NY",NaN,NaN,"analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions...."
1137,bioinformatics software engineer (solid tumor team),Memorial Sloan Kettering,New+York%2CNY,"New York, NY",NaN,NaN,"process and analyze data from high-throughput next-generation sequencing. design, develop, and operate software and databases as part of bioinformatics data..."
1138,social media editor,Natural Resources Defense Council,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"today, our staff of more than 430 lawyers, scientists, economists, policy and communications experts, and others, work out of offices in new york, washington,..."
1139,principal statistical programmer,Shionogi Inc,New+York%2CNY,"Florham Park, NJ 07932",NaN,NaN,support data management by generating data listings. extensive experience of data integration. experience in the creation of cdisc sdtm and adam models by...
1140,clinical data programmer,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,"in-depth understanding of data collection, data flow management, data quality, data extraction and data standards (knowledge of cdisc standards for cdash, sdtm..."
1141,machine learning technical writer,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"114 5th ave (22114), united states of america, new york, new york at capital one, we’re building a leading information-based technology company. still founder"
1142,associate director - heart transplant program,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,reviews data and helps to identify projects; and to ensure that critical clinical data is accurately collected....
1143,data scientist - new york tech dev center,T. Rowe Price,New+York%2CNY,"New York, NY",NaN,NaN,we’re looking for data scientists to join our new technology development center in manhattan. fluency in the languages of data manipulation (e.g....
1144,administrative secretary i - department of surgery,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"and laboratories, our scientists continue to shape the future of clinical care. mount sinai health system careers...."
